股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
IPDN,Professional Diversity Network ,246.63,6.69,10.84,2.79,3.03,4.76,12242.69,14965.01,-7.07,306028560,2047990880.0,1.93,16722879,16722879,105.IPDN,美股,2025-08-30 04:00:00,2025-08-29
YDES,YD Bio Ltd,135.85,12.5,16.5,7.2,8.0,7.2,1.31,-,-36.76,918831,11671829.0,5.3,878997800,878997800,105.YDES,美股,2025-08-30 04:00:00,2025-08-29
ODVWZ,Osisko Development Corp Wt,116.22,0.4,0.6,0.23,0.23,0.215,-,9.78,-,38556,16565.0,0.185,-,-,105.ODVWZ,美股,2025-08-30 04:00:00,2025-08-29
SRZNW,Surrozen Inc Wt,102.73,0.022,0.022,0.019,0.019,0.011,-,42.62,-,14797,291.0,0.011,-,-,105.SRZNW,美股,2025-08-30 04:00:00,2025-08-29
MOVE,Movano Inc,73.25,1.07,1.31,0.881,1.135,0.452,1268.19,31.03,-0.37,105274720,114379051.0,0.618,8882288,8882288,105.MOVE,美股,2025-08-30 04:00:00,2025-08-29
GMHS,家游控股,68.14,1.9,2.66,1.81,2.6,0.77,294.48,2231.25,53.06,157749794,365333104.0,1.13,101781780,101781780,105.GMHS,美股,2025-08-30 04:00:00,2025-08-29
SVREW,SaverOne 2014 Ltd Wt,54.64,0.028,0.028,0.014,0.019,0.01,-,1.37,-,12542,228.0,0.018,-,-,105.SVREW,美股,2025-08-30 04:00:00,2025-08-29
DUO,房多多,53.21,2.39,2.62,1.54,1.54,0.83,1014.82,9.62,-2.69,39624329,89432563.0,1.56,9331910,9331910,105.DUO,美股,2025-08-30 04:00:00,2025-08-29
NXTT,Next Technology Holding Inc,52.17,0.441,0.56,0.326,0.36,0.151,75.47,18.55,0.63,344364944,156628648.0,0.29,201349804,201349804,105.NXTT,美股,2025-08-30 04:00:00,2025-08-29
AIIOW,Robo.ai Inc Wt,50.46,0.065,0.087,0.036,0.042,0.022,-,7.02,-,248536,12406.0,0.043,-,-,105.AIIOW,美股,2025-08-30 04:00:00,2025-08-29
ABLVW,Able View Global Inc Wt,47.52,0.03,0.03,0.02,0.02,0.01,-,0.15,-,1627,43.0,0.02,-,-,105.ABLVW,美股,2025-08-30 04:00:00,2025-08-29
BCTXW,BriaCell Therapeutics Corp Wt,44.83,0.029,0.033,0.029,0.033,0.009,-,0.02,-,509,15.0,0.02,-,-,105.BCTXW,美股,2025-08-30 04:00:00,2025-08-29
RLMD,Relmada Therapeutics Inc,44.52,1.12,1.19,0.822,0.83,0.345,50.54,29.93,-0.55,16776036,17185865.0,0.775,37174617,37174617,105.RLMD,美股,2025-08-30 04:00:00,2025-08-29
YDESW,YD Bio Ltd Wt,41.18,0.466,0.8,0.4,0.55,0.136,-,-,-,118860,72722.0,0.33,-,-,105.YDESW,美股,2025-08-30 04:00:00,2025-08-29
NUKKW,Nukkleus Inc Wt,38.72,0.13,0.15,0.12,0.145,0.036,-,0.99,-,646896,88977.0,0.094,-,-,105.NUKKW,美股,2025-08-30 04:00:00,2025-08-29
KVACW,Keen Vision Acquisition Corp Wt,38.46,0.09,0.09,0.065,0.066,0.025,-,4.69,-,59220,5053.0,0.065,-,-,105.KVACW,美股,2025-08-30 04:00:00,2025-08-29
XOSWW,Xos Inc Wt,38.02,0.017,0.017,0.012,0.012,0.005,-,2.56,-,126044,1626.0,0.012,-,-,105.XOSWW,美股,2025-08-30 04:00:00,2025-08-29
IFRX,InflaRx NV,36.75,1.6,1.6,1.3,1.38,0.43,6.28,5.03,-2.18,4252930,6188879.0,1.17,108395408,108395408,105.IFRX,美股,2025-08-30 04:00:00,2025-08-29
ADSEW,Ads-Tec Energy PLC Wt,35.41,1.503,1.6,1.14,1.19,0.393,-,2.58,-,21720,27277.0,1.11,-,-,105.ADSEW,美股,2025-08-30 04:00:00,2025-08-29
JACSr,Jackson Acquisition Co II Rt,35.0,0.27,0.27,0.27,0.27,0.07,-,0.29,-,514,139.0,0.2,-,-,106.JACSr,美股,2025-08-30 04:00:00,2025-08-29
MYPSW,PlayStudios Inc Wt,32.67,0.02,0.02,0.02,0.02,0.005,-,0.01,-,503,10.0,0.015,-,-,105.MYPSW,美股,2025-08-30 04:00:00,2025-08-29
NUKK,Nukkleus Inc,31.98,4.87,5.85,4.36,5.44,1.18,1195.34,7.76,0.32,84542961,433073088.0,3.69,34444151,34444151,105.NUKK,美股,2025-08-30 04:00:00,2025-08-29
HTOOW,Fusion Fuel Green PLC Wt,31.54,0.032,0.033,0.024,0.024,0.008,-,1.11,-,27092,796.0,0.024,-,-,105.HTOOW,美股,2025-08-30 04:00:00,2025-08-29
ILLRW,Triller Group Inc Wt,30.49,0.04,0.04,0.025,0.04,0.009,-,2.79,-,31442,803.0,0.031,-,-,105.ILLRW,美股,2025-08-30 04:00:00,2025-08-29
