股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
BK1046,游戏,2.3,1722.45,1751.62,1682.78,1683.46,38.77,4.59,1.17,66.71,15141899,24323884064.0,1683.68,651023744000,593591504000,90.BK1046,板块,2025-09-25 15:24:33,2025-09-25
BK1034,电源设备,1.91,2901.67,2909.42,2850.08,2850.08,54.33,7.53,2.1,80.83,21222681,34755912196.0,2847.34,601805376000,451469104000,90.BK1034,板块,2025-09-25 15:24:33,2025-09-25
BK1015,能源金属,1.15,628.52,639.83,626.68,628.48,7.13,6.12,1.4,134.0,10104542,25837122087.0,621.39,483305520000,420096304000,90.BK1015,板块,2025-09-25 15:24:33,2025-09-25
BK1032,风电设备,0.93,1454.17,1470.34,1437.35,1437.35,13.44,4.44,0.85,56.13,10266559,16414265249.0,1440.73,419312816000,336626144000,90.BK1032,板块,2025-09-25 15:24:33,2025-09-25
BK0447,互联网服务,0.75,31900.73,32367.99,31612.09,31640.89,236.86,5.72,0.93,158.58,58429497,106333430400.0,31663.87,2072143728000,1865191808000,90.BK0447,板块,2025-09-25 15:24:33,2025-09-25
BK0478,有色金属,0.74,21913.85,22300.51,21877.49,22081.36,160.95,3.21,1.29,19.69,46536642,54769631370.0,21752.9,2113896080000,1782480864000,90.BK0478,板块,2025-09-25 15:24:33,2025-09-25
BK1027,小金属,0.72,2967.94,3005.34,2955.7,2958.46,21.31,3.61,1.34,35.09,16976763,36514104771.0,2946.63,1124103872000,993259200000,90.BK1027,板块,2025-09-25 15:24:33,2025-09-25
BK0740,教育,0.4,698.37,703.05,692.83,694.11,2.78,3.34,0.82,693.33,3932520,3444413345.0,695.59,86844220000,78821431000,90.BK0740,板块,2025-09-25 15:24:33,2025-09-25
BK1037,消费电子,0.4,2039.95,2061.27,2028.97,2029.87,8.15,4.6,0.97,50.97,36150020,125966200856.0,2031.8,3699216592000,3292778976000,90.BK1037,板块,2025-09-25 15:24:33,2025-09-25
BK0735,计算机设备,0.39,1626.49,1641.93,1615.95,1620.83,6.38,3.71,1.03,53.63,14210926,47958727228.0,1620.11,1156079920000,1057883120000,90.BK0735,板块,2025-09-25 15:24:33,2025-09-25
BK0486,文化传媒,0.36,10819.35,10893.93,10740.06,10750.89,38.34,3.41,1.09,76.61,37733548,38254521522.0,10781.01,1162888384000,1052384992000,90.BK0486,板块,2025-09-25 15:24:33,2025-09-25
BK0448,通信设备,0.21,18666.41,18837.29,18517.22,18575.1,39.99,4.66,0.92,99.09,28105855,126997246689.0,18626.42,2740771376000,2362372608000,90.BK0448,板块,2025-09-25 15:24:33,2025-09-25
BK1031,光伏设备,0.13,1273.76,1291.95,1269.99,1271.97,1.63,3.54,1.02,-42.64,28583005,61162595678.0,1272.13,1666083904000,1429882320000,90.BK1031,板块,2025-09-25 15:24:33,2025-09-25
BK0737,软件开发,0.12,1306.25,1326.8,1301.07,1303.66,1.61,4.17,0.97,1541.36,38588338,99793171450.0,1304.64,2716907200000,2298994736000,90.BK0737,板块,2025-09-25 15:24:33,2025-09-25
BK0457,电网设备,0.1,32283.59,32502.17,32181.64,32266.97,31.44,3.77,1.1,37.83,35130042,46562284246.0,32252.15,1482860128000,1320104576000,90.BK0457,板块,2025-09-25 15:24:33,2025-09-25
BK1043,专业服务,0.09,1444.7,1457.64,1439.8,1442.95,1.26,1.92,0.99,45.09,3094167,4920755077.0,1443.44,255088388000,195950623000,90.BK1043,板块,2025-09-25 15:24:33,2025-09-25
BK0546,玻璃玻纤,0.02,48166.68,48591.24,48038.72,48298.15,7.97,2.4,1.04,36.93,5777710,8086874949.0,48158.71,480708752000,404092896000,90.BK0546,板块,2025-09-25 15:24:33,2025-09-25
BK0485,旅游酒店,-0.18,16970.62,17059.77,16733.78,16897.37,-31.4,4.72,0.67,54.21,10276343,11145868599.0,17002.02,392427840000,353756400000,90.BK0485,板块,2025-09-25 15:24:33,2025-09-25
BK0727,医疗服务,-0.25,1307.13,1330.56,1304.51,1308.88,-3.24,1.98,0.74,43.19,6661971,17361119231.0,1310.37,885739600000,740966864000,90.BK0727,板块,2025-09-25 15:24:33,2025-09-25
BK0440,家用轻工,-0.27,50150.46,50731.76,50067.22,50198.17,-134.3,2.61,0.97,29.1,4065011,5500885373.0,50284.76,328443856000,248641238000,90.BK0440,板块,2025-09-25 15:24:33,2025-09-25
BK0479,钢铁行业,-0.28,8316.59,8417.04,8301.85,8353.66,-23.35,1.19,0.8,-257.17,23203778,12826087326.0,8339.94,948767216000,858145520000,90.BK0479,板块,2025-09-25 15:24:33,2025-09-25
BK1041,医疗器械,-0.28,1009.67,1023.24,1008.86,1013.45,-2.85,1.53,0.82,53.36,6063407,19429667230.0,1012.52,1480098736000,1335439216000,90.BK1041,板块,2025-09-25 15:24:33,2025-09-25
BK0420,航空机场,-0.3,4988.44,5020.24,4968.85,4998.03,-15.26,0.67,0.52,195.29,6422572,3355711129.0,5003.7,768271440000,543329168000,90.BK0420,板块,2025-09-25 15:24:33,2025-09-25
BK1036,半导体,-0.35,2011.49,2025.69,1993.96,2008.13,-7.14,5.36,1.04,170.6,37716884,247801523265.0,2018.63,7073480960000,5461723136000,90.BK1036,板块,2025-09-25 15:24:33,2025-09-25
