code,name,open,close,now,high,low,buy,sell,turnover,volume,bid1_volume,bid1,bid2_volume,bid2,bid3_volume,bid3,bid4_volume,bid4,bid5_volume,bid5,ask1_volume,ask1,ask2_volume,ask2,ask3_volume,ask3,ask4_volume,ask4,ask5_volume,ask5,date,time
sz000001,平安银行,12.05,12.05,11.89,12.05,11.85,11.88,11.89,185845902,2214306331.71,408491,11.88,56300,11.87,1532000,11.86,3019500,11.85,1099600,11.84,338400,11.89,787944,11.9,477900,11.91,243100,11.92,278800,11.93,2025-09-01,15:00:00
sz000002,万科Ａ,6.76,6.79,6.81,6.86,6.7,6.8,6.81,140682543,953846377.4,2460669,6.8,263500,6.79,229900,6.78,158200,6.77,247600,6.76,466820,6.81,683800,6.82,883200,6.83,953900,6.84,2189905,6.85,2025-09-01,15:00:00
sz000004,*ST国华,11.39,11.31,11.08,11.88,11.02,11.08,11.09,9529300,109831218.0,11000,11.08,3600,11.07,12100,11.06,27000,11.05,1900,11.04,200,11.09,28800,11.1,1100,11.14,5600,11.15,200,11.17,2025-09-01,15:00:00
sz000006,深振业Ａ,7.28,7.34,7.21,7.38,7.19,7.21,7.22,37146737,269645390.71,83900,7.21,202200,7.2,139300,7.19,190400,7.18,62800,7.17,35500,7.22,124100,7.23,92600,7.24,169600,7.25,95900,7.26,2025-09-01,15:00:00
sz000007,全新好,7.58,7.56,7.63,7.71,7.48,7.62,7.63,8052065,61438256.6,13200,7.62,14500,7.61,46500,7.6,1000,7.59,4800,7.58,43700,7.63,3300,7.64,28100,7.65,32350,7.66,46200,7.67,2025-09-01,15:00:00
sz000008,神州高铁,2.86,2.86,2.88,2.89,2.84,2.87,2.88,42091840,120653962.2,1066000,2.87,4019500,2.86,2614000,2.85,1752300,2.84,780600,2.83,1773664,2.88,3462600,2.89,1408879,2.9,669157,2.91,605900,2.92,2025-09-01,15:00:00
sz000009,中国宝安,9.8,9.8,9.74,9.87,9.63,9.74,9.75,42328138,411364420.67,55600,9.74,153840,9.73,195600,9.72,68400,9.71,74057,9.7,205923,9.75,126700,9.76,53800,9.77,66200,9.78,109937,9.79,2025-09-01,15:00:00
sz000010,美丽生态,4.47,4.43,4.87,4.87,4.46,4.87,0.0,50680200,239457742.9,21343500,4.87,10800,4.86,7700,4.85,2800,4.84,11600,4.83,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-09-01,15:00:00
sz000011,深物业A,9.0,9.04,9.13,9.14,8.96,9.13,9.14,8767202,79627662.25,37399,9.13,64599,9.12,26600,9.11,19100,9.1,31600,9.09,93500,9.14,74900,9.15,83600,9.16,21800,9.17,32600,9.18,2025-09-01,15:00:00
sz000012,南玻Ａ,4.75,4.75,4.75,4.77,4.71,4.75,4.76,12928410,61234709.36,249934,4.75,252000,4.74,426900,4.73,396300,4.72,894736,4.71,17200,4.76,273900,4.77,196137,4.78,213600,4.79,176134,4.8,2025-09-01,15:00:00
sz000014,沙河股份,14.2,14.26,14.52,14.7,13.98,14.52,14.53,11711693,169165409.98,14300,14.52,38500,14.51,17900,14.5,21789,14.49,7500,14.48,20282,14.53,29000,14.54,17400,14.55,5500,14.56,26100,14.57,2025-09-01,15:00:00
sz000016,深康佳Ａ,5.76,5.71,5.79,5.84,5.72,5.78,5.79,64216397,371085310.68,319600,5.78,406100,5.77,302500,5.76,372300,5.75,118100,5.74,393400,5.79,713600,5.8,443100,5.81,871650,5.82,542900,5.83,2025-09-01,15:00:00
sz000017,深中华A,6.53,6.5,6.68,6.69,6.49,6.67,6.68,18020031,119329237.78,65700,6.67,107700,6.66,58800,6.65,42600,6.64,72200,6.63,436900,6.68,176800,6.69,186000,6.7,32100,6.71,83400,6.72,2025-09-01,15:00:00
sz000019,深粮控股,6.99,6.97,6.93,7.03,6.91,6.93,6.94,11014966,76623978.82,53400,6.93,129000,6.92,145354,6.91,186600,6.9,56100,6.89,19100,6.94,8704,6.95,26300,6.96,17600,6.97,27900,6.98,2025-09-01,15:00:00
sz000020,深华发Ａ,14.08,13.94,14.16,14.32,13.92,14.16,14.17,3785400,53681269.0,1500,14.16,8100,14.15,4400,14.14,10400,14.13,6600,14.12,400,14.17,600,14.18,1100,14.19,3000,14.2,100,14.21,2025-09-01,15:00:00
sz000021,深科技,22.25,21.84,21.95,22.48,21.64,21.94,21.95,88762118,1952640498.71,38500,21.94,62475,21.93,67400,21.92,52900,21.91,34700,21.9,387586,21.95,102700,21.96,125300,21.97,76001,21.98,112229,21.99,2025-09-01,15:00:00
sz000025,特力Ａ,18.0,18.0,18.15,18.16,17.84,18.14,18.15,16121263,291340161.79,40700,18.14,88910,18.13,8600,18.12,17000,18.11,72600,18.1,1697745,18.15,89600,18.16,20900,18.17,40745,18.18,13300,18.19,2025-09-01,15:00:00
sz000026,飞亚达,17.61,17.47,17.54,17.92,17.42,17.53,17.54,9905589,174692004.83,73300,17.53,35900,17.52,52100,17.51,13900,17.5,10600,17.49,4900,17.54,44000,17.55,30100,17.56,32100,17.57,21900,17.58,2025-09-01,15:00:00
sz000027,深圳能源,6.63,6.62,6.58,6.64,6.52,6.57,6.58,31706727,208286279.91,499754,6.57,253640,6.56,382300,6.55,431500,6.54,663300,6.53,67800,6.58,257377,6.59,79100,6.6,95500,6.61,148300,6.62,2025-09-01,15:00:00
sz000028,国药一致,25.86,25.8,25.83,25.88,25.65,25.83,25.84,3779130,97505541.3,47100,25.83,7800,25.82,9300,25.81,9800,25.8,4600,25.79,1700,25.84,19200,25.85,14600,25.86,12780,25.87,23600,25.88,2025-09-01,15:00:00
sz000029,深深房Ａ,28.19,28.66,29.21,29.98,27.88,29.21,29.22,9472415,275083709.19,14200,29.21,75300,29.2,700,29.19,3400,29.18,1300,29.17,7700,29.22,1400,29.23,8200,29.24,6300,29.25,7700,29.26,2025-09-01,15:00:00
sz000030,富奥股份,5.83,5.8,5.73,5.86,5.71,5.73,5.74,12344193,71037739.03,90980,5.73,80100,5.72,133800,5.71,260700,5.7,63600,5.69,15900,5.74,181500,5.75,10240,5.76,13200,5.77,31200,5.78,2025-09-01,15:00:00
sz000031,大悦城,3.23,3.25,3.27,3.32,3.19,3.27,3.28,28435303,92645207.77,101075,3.27,111400,3.26,131200,3.25,119700,3.24,34400,3.23,66900,3.28,64900,3.29,431900,3.3,118758,3.31,217806,3.32,2025-09-01,15:00:00
