时间,前值,现值,发布日期
2023年12月,3.8570257,,2024-01-18
2023年11月,3.7508073,3.8570257,2023-12-14
2023年10月,3.5520463,3.7508073,2023-11-16
2023年09月,3.700706,3.5520463,2023-10-19
2023年08月,3.7359488,3.700706,2023-09-14
2023年07月,3.4768724,3.7359488,2023-08-17
2023年06月,3.5708109,3.4768724,2023-07-20
2023年05月,3.6899216,3.5708109,2023-06-15
2023年04月,3.5193296,3.6899216,2023-05-18
2023年03月,3.5489147,3.5193296,2023-04-13
2023年02月,3.6721631,3.5489147,2023-03-16
2023年01月,3.5212224,3.6721631,2023-02-16
2022年12月,3.4683246,3.5212224,2023-01-19
2022年11月,3.4166319,3.4683246,2022-12-15
2022年10月,3.5614908,3.4166319,2022-11-17
2022年09月,3.5040701,3.5614908,2022-10-20
2022年08月,3.4131693,3.5040701,2022-09-15
2022年07月,3.5431451,3.4131693,2022-08-18
2022年06月,3.8733311,3.5431451,2022-07-14
2022年05月,3.8611975,3.8733311,2022-06-16
2022年04月,3.9136456,3.8611975,2022-05-19
2022年03月,4.0032751,3.9136456,2022-04-14
2022年02月,4.1759323,4.0032751,2022-03-17
2022年01月,4.1707061,4.1759323,2022-02-17
2021年12月,4.6032504,4.1707061,2022-01-20
2021年11月,5.2286423,4.6032504,2021-12-16
2021年10月,4.6732543,5.2286423,2021-11-11
2021年09月,4.5728464,4.6732543,2021-10-14
2021年08月,4.6998177,4.5728464,2021-09-16
2021年07月,4.9782638,4.6998177,2021-08-19
2021年06月,5.0631888,4.9782638,2021-07-15
2021年05月,5.4255668,5.0631888,2021-06-17
2021年04月,5.612346,5.4255668,2021-05-20
2021年03月,5.7988503,5.612346,2021-04-15
2021年02月,6.3564168,5.7988503,2021-03-18
2021年01月,6.5791404,6.3564168,2021-02-25
2020年12月,6.8220363,6.5791404,2021-01-21
2020年11月,6.9392068,6.8220363,2020-12-17
2020年10月,6.9108902,6.9392068,2020-11-19
2020年09月,6.8369446,6.9108902,2020-10-15
2020年08月,7.5473941,6.8369446,2020-09-17
2020年07月,7.4428179,7.5473941,2020-08-13
2020年06月,7.0167518,7.4428179,2020-07-16
2020年05月,6.3253426,7.0167518,2020-06-18
2020年04月,5.2058709,6.3253426,2020-05-14
2020年03月,5.0803561,5.2058709,2020-04-16
2020年02月,5.2790476,5.0803561,2020-03-19
2020年01月,5.0463256,5.2790476,2020-02-20
2019年12月,5.1572302,5.0463256,2020-01-23
2019年11月,5.2710428,5.1572302,2019-12-19
2019年10月,5.1609419,5.2710428,2019-11-14
2019年09月,5.2238046,5.1609419,2019-10-17
2019年08月,5.2285074,5.2238046,2019-09-19
2019年07月,5.2015374,5.2285074,2019-08-15
2019年06月,5.199353,5.2015374,2019-07-18
2019年05月,5.2429674,5.199353,2019-06-13
2019年04月,5.1358012,5.2429674,2019-05-16
2019年03月,5.0077837,5.1358012,2019-04-24
2019年02月,5.0813734,5.0077837,2019-03-21
2019年01月,5.004922,5.0813734,2019-02-21
2018年12月,5.1085135,5.004922,2019-01-24
2018年11月,4.9798139,5.1085135,2018-12-13
2018年10月,4.9868633,4.9798139,2018-11-15
2018年09月,5.2398975,4.9868633,2018-10-18
2018年08月,5.2593185,5.2398975,2018-09-13
2018年07月,5.2775333,5.2593185,2018-08-16
2018年06月,5.3860262,5.2775333,2018-07-19
2018年05月,5.5591555,5.3860262,2018-06-14
2018年04月,5.5550483,5.5591555,2018-05-17
2018年03月,5.6095307,5.5550483,2018-04-19
2018年02月,5.5355251,5.6095307,2018-03-22
2018年01月,5.6064958,5.5355251,2018-02-15
2017年12月,5.4212864,5.6064958,2018-01-18
2017年11月,5.3503905,5.4212864,2017-12-14
2017年10月,5.4210412,5.3503905,2017-11-16
2017年09月,5.4890028,5.4210412,2017-10-19
2017年08月,5.5656538,5.4890028,2017-09-14
2017年07月,5.5609771,5.5656538,2017-08-17
2017年06月,5.5397968,5.5609771,2017-07-20
2017年05月,5.6368433,5.5397968,2017-06-15
2017年04月,5.8872711,5.6368433,2017-05-18
2017年03月,5.8858856,5.8872711,2017-04-13
2017年02月,5.70919,5.8858856,2017-03-16
2017年01月,5.8334645,5.70919,2017-02-16
2016年12月,5.7626425,5.8334645,2017-01-19
2016年11月,5.5721352,5.7626425,2016-12-15
2016年10月,5.6244907,5.5721352,2016-11-17
2016年09月,5.5874579,5.6244907,2016-10-20
2016年08月,5.6728409,5.5874579,2016-09-15
2016年07月,5.6664102,5.6728409,2016-08-18
2016年06月,5.7195295,5.6664102,2016-07-14
2016年05月,5.6601885,5.7195295,2016-06-16
2016年04月,5.6722936,5.6601885,2016-05-19
2016年03月,5.7174444,5.6722936,2016-04-14
2016年02月,6.0433538,5.7174444,2016-03-17
2016年01月,5.7470062,6.0433538,2016-02-18
2015年12月,5.8538463,5.7470062,2016-01-14
2015年11月,5.9114361,5.8538463,2015-12-10
2015年10月,6.1465858,5.9114361,2015-11-12
2015年09月,6.0675444,6.1465858,2015-10-15
2015年08月,6.2562318,6.0675444,2015-09-10
2015年07月,5.9886409,6.2562318,2015-08-06
2015年06月,5.9331828,5.9886409,2015-07-09
2015年05月,6.1216758,5.9331828,2015-06-15
2015年04月,6.1149739,6.1216758,2015-05-16
2015年03月,6.1660008,6.1149739,2015-04-15
2015年02月,6.352143,6.1660008,2015-03-18
2015年01月,6.109701,6.352143,2015-02-15
2014年12月,6.2977231,6.109701,2015-01-15
2014年11月,6.3595456,6.2977231,2014-12-16
2014年10月,6.216553,6.3595456,2014-11-15
2014年09月,6.0851773,6.216553,2014-10-16
2014年08月,6.1586582,6.0851773,2014-09-15
2014年07月,6.0369073,6.1586582,2014-08-15
2014年06月,5.9309768,6.0369073,2014-07-16
2014年05月,5.8090993,5.9309768,2014-06-15
2014年04月,5.8822963,5.8090993,2014-05-16
2014年03月,5.8950288,5.8822963,2014-04-15
2014年02月,5.9442185,5.8950288,2014-03-18
2014年01月,5.9041404,5.9442185,2014-02-15
2013年12月,5.7965782,5.9041404,2014-01-15
2013年11月,5.8253341,5.7965782,2013-12-16
2013年10月,5.6951092,5.8253341,2013-11-15
2013年09月,5.8382851,5.6951092,2013-10-16
2013年08月,5.6346734,5.8382851,2013-09-15
2013年07月,5.6896662,5.6346734,2013-08-15
2013年06月,5.6101263,5.6896662,2013-07-16
2013年05月,5.5905519,5.6101263,2013-06-15
2013年04月,5.6444697,5.5905519,2013-05-16
2013年03月,5.4106749,5.6444697,2013-04-15
2013年02月,5.3904535,5.4106749,2013-03-18
2013年01月,5.4355004,5.3904535,2013-02-15
2012年12月,5.2562844,5.4355004,2013-01-15
2012年11月,5.4131845,5.2562844,2012-12-16
2012年10月,5.4824114,5.4131845,2012-11-15
2012年09月,5.1548014,5.4824114,2012-10-16
2012年08月,5.1829524,5.1548014,2012-09-15
2012年07月,5.1598784,5.1829524,2012-08-15
2012年06月,5.2001925,5.1598784,2012-07-16
2012年05月,4.9957336,5.2001925,2012-06-15
2012年04月,5.1852609,4.9957336,2012-05-16
2012年03月,5.2020775,5.1852609,2012-04-15
2012年02月,5.0481409,5.2020775,2012-03-17
2012年01月,5.1990927,5.0481409,2012-02-15
2011年12月,5.2305272,5.1990927,2012-01-15
2011年11月,5.1899532,5.2305272,2011-12-16
2011年10月,5.2190685,5.1899532,2011-11-15
2011年09月,5.2705507,5.2190685,2011-10-16
2011年08月,5.0941849,5.2705507,2011-09-15
2011年07月,4.9150625,5.0941849,2011-08-15
2011年06月,5.0133404,4.9150625,2011-07-16
2011年05月,4.9604182,5.0133404,2011-06-15
2011年04月,4.9278087,4.9604182,2011-05-16
2011年03月,4.9782663,4.9278087,2011-04-15
2011年02月,5.0041799,4.9782663,2011-03-18
2011年01月,4.8781787,5.0041799,2011-02-15
2010年12月,5.1091021,4.8781787,2011-01-15
2010年11月,5.2864936,5.1091021,2010-12-16
2010年10月,5.053716,5.2864936,2010-11-15
2010年09月,5.0336063,5.053716,2010-10-16
2010年08月,5.2894916,5.0336063,2010-09-15
2010年07月,5.1440434,5.2894916,2010-08-15
2010年06月,5.2294427,5.1440434,2010-07-16
2010年05月,5.4997422,5.2294427,2010-06-15
2010年04月,5.4243303,5.4997422,2010-05-16
2010年03月,5.3033428,5.4243303,2010-04-15
2010年02月,5.2663448,5.3033428,2010-03-18
2010年01月,5.4921453,5.2663448,2010-02-15
2009年12月,5.5589886,5.4921453,2010-01-15
2009年11月,5.6243064,5.5589886,2009-12-16
2009年10月,5.6614595,5.6243064,2009-11-15
2009年09月,5.7160657,5.6614595,2009-10-16
2009年08月,5.6736211,5.7160657,2009-09-15
2009年07月,5.8616672,5.6736211,2009-08-15
2009年06月,5.812155,5.8616672,2009-07-16
2009年05月,5.514769,5.812155,2009-06-15
2009年04月,5.7130255,5.514769,2009-05-16
2009年03月,5.3061022,5.7130255,2009-04-15
2009年02月,4.9080844,5.3061022,2009-03-18
2009年01月,4.5710923,4.9080844,2009-02-15
2008年12月,4.4633169,4.5710923,2009-01-15
2008年11月,4.2909615,4.4633169,2008-12-16
2008年10月,4.2897243,4.2909615,2008-11-15
2008年09月,4.0161487,4.2897243,2008-10-16
2008年08月,4.251085,4.0161487,2008-09-15
2008年07月,4.2442005,4.251085,2008-08-15
2008年06月,4.2666429,4.2442005,2008-07-16
2008年05月,4.2668808,4.2666429,2008-06-15
2008年04月,4.0582539,4.2668808,2008-05-16
2008年03月,3.9811606,4.0582539,2008-04-15
2008年02月,4.2211684,3.9811606,2008-03-17
2008年01月,4.3095662,4.2211684,2008-02-15
