时间,item,现值
2023-11,全国城镇调查失业率,0.0
2023-10,全国城镇调查失业率,5.0
2023-09,全国城镇调查失业率,5.0
2023-08,全国城镇调查失业率,5.2
2023-07,全国城镇调查失业率,5.3
2023-06,全国城镇调查失业率,5.2
2023-05,全国城镇调查失业率,5.2
2023-04,全国城镇调查失业率,5.2
2023-03,全国城镇调查失业率,5.3
2023-02,全国城镇调查失业率,5.6
2023-01,全国城镇调查失业率,5.5
2022-12,全国城镇调查失业率,5.5
2022-11,全国城镇调查失业率,5.7
2022-10,全国城镇调查失业率,5.5
2022-09,全国城镇调查失业率,5.5
2022-08,全国城镇调查失业率,5.3
2022-07,全国城镇调查失业率,5.4
2022-06,全国城镇调查失业率,5.5
2022-05,全国城镇调查失业率,5.9
2022-04,全国城镇调查失业率,6.1
2022-03,全国城镇调查失业率,5.8
2022-02,全国城镇调查失业率,5.5
2022-01,全国城镇调查失业率,5.3
2021-12,全国城镇调查失业率,5.1
2021-11,全国城镇调查失业率,5.0
2021-10,全国城镇调查失业率,4.9
2021-09,全国城镇调查失业率,4.9
2021-08,全国城镇调查失业率,5.1
2021-07,全国城镇调查失业率,5.1
2021-06,全国城镇调查失业率,5.0
2021-05,全国城镇调查失业率,5.0
2021-04,全国城镇调查失业率,5.1
2021-03,全国城镇调查失业率,5.3
2021-02,全国城镇调查失业率,5.5
2021-01,全国城镇调查失业率,5.4
2020-12,全国城镇调查失业率,5.2
2020-11,全国城镇调查失业率,5.2
2020-10,全国城镇调查失业率,5.3
2020-09,全国城镇调查失业率,5.4
2020-08,全国城镇调查失业率,5.6
2020-07,全国城镇调查失业率,5.7
2020-06,全国城镇调查失业率,5.7
2020-05,全国城镇调查失业率,5.9
2020-04,全国城镇调查失业率,6.0
2020-03,全国城镇调查失业率,5.9
2020-02,全国城镇调查失业率,6.2
2020-01,全国城镇调查失业率,5.3
2019-12,全国城镇调查失业率,5.2
2019-11,全国城镇调查失业率,5.1
2019-10,全国城镇调查失业率,5.1
2019-09,全国城镇调查失业率,5.2
2019-08,全国城镇调查失业率,5.2
2019-07,全国城镇调查失业率,5.3
2019-06,全国城镇调查失业率,5.1
2019-05,全国城镇调查失业率,5.0
2019-04,全国城镇调查失业率,5.0
2019-03,全国城镇调查失业率,5.2
2019-02,全国城镇调查失业率,5.3
2019-01,全国城镇调查失业率,5.1
2018-12,全国城镇调查失业率,4.9
2018-11,全国城镇调查失业率,4.8
2018-10,全国城镇调查失业率,4.9
2018-09,全国城镇调查失业率,4.9
2018-08,全国城镇调查失业率,5.0
2018-07,全国城镇调查失业率,5.1
2018-06,全国城镇调查失业率,4.8
2018-05,全国城镇调查失业率,4.8
2018-04,全国城镇调查失业率,4.9
2018-03,全国城镇调查失业率,5.06
2018-02,全国城镇调查失业率,5.0
2018-01,全国城镇调查失业率,4.96
2017-12,全国城镇调查失业率,0.0
