时间,前值,现值,发布日期
2008年01月,3.7,3.9,2008-02-29
2008年02月,3.9,4.0,2008-03-31
2008年03月,4.0,3.8,2008-04-29
2008年04月,3.8,3.9,2008-05-30
2008年05月,3.9,4.0,2008-06-29
2008年06月,4.0,4.0,2008-07-30
2008年07月,4.0,3.9,2008-08-29
2008年08月,3.9,4.1,2008-09-29
2008年09月,4.1,4.0,2008-10-30
2008年10月,4.0,3.8,2008-11-29
2008年11月,3.8,4.0,2008-12-30
2008年12月,4.0,4.4,2009-01-29
2009年01月,4.4,4.3,2009-03-01
2009年02月,4.3,4.6,2009-04-01
2009年03月,4.6,4.8,2009-04-29
2009年04月,4.8,5.0,2009-05-30
2009年05月,5.0,5.1,2009-06-29
2009年06月,5.1,5.2,2009-07-30
2009年07月,5.2,5.5,2009-08-29
2009年08月,5.5,5.4,2009-09-29
2009年09月,5.4,5.4,2009-10-30
2009年10月,5.4,5.2,2009-11-29
2009年11月,5.2,5.2,2009-12-30
2009年12月,5.2,5.2,2010-01-29
2010年01月,5.2,5.0,2010-03-01
2010年02月,5.0,5.0,2010-04-01
2010年03月,5.0,5.1,2010-04-29
2010年04月,5.1,5.1,2010-05-30
2010年05月,5.1,5.1,2010-06-29
2010年06月,5.1,5.2,2010-07-30
2010年07月,5.2,5.0,2010-08-29
2010年08月,5.0,5.1,2010-09-29
2010年09月,5.1,5.1,2010-10-30
2010年10月,5.1,5.1,2010-11-29
2010年11月,5.1,5.0,2010-12-30
2010年12月,5.0,4.9,2011-01-29
2011年01月,4.9,4.8,2011-03-01
2011年02月,4.8,4.7,2011-04-01
2011年03月,4.7,4.7,2011-04-29
2011年04月,4.7,4.7,2011-05-30
2011年05月,4.7,4.6,2011-06-29
2011年06月,4.6,4.7,2011-07-30
2011年07月,4.7,4.7,2011-08-29
2011年08月,4.7,4.5,2011-09-29
2011年09月,4.5,4.2,2011-10-30
2011年10月,4.2,4.4,2011-11-29
2011年11月,4.4,4.5,2011-12-30
2011年12月,4.5,4.5,2012-01-29
2012年01月,4.5,4.5,2012-02-29
2012年02月,4.5,4.5,2012-03-31
2012年03月,4.5,4.5,2012-04-29
2012年04月,4.5,4.5,2012-05-30
2012年05月,4.5,4.4,2012-06-29
2012年06月,4.4,4.3,2012-07-30
2012年07月,4.3,4.3,2012-08-29
2012年08月,4.3,4.2,2012-09-29
2012年09月,4.2,4.2,2012-10-30
2012年10月,4.2,4.1,2012-11-29
2012年11月,4.1,4.1,2012-12-30
2012年12月,4.1,4.3,2013-01-29
2013年01月,4.3,4.2,2013-03-01
2013年02月,4.2,4.3,2013-04-01
2013年03月,4.3,4.1,2013-04-29
2013年04月,4.1,4.1,2013-05-30
2013年05月,4.1,4.1,2013-06-29
2013年06月,4.1,3.9,2013-07-30
2013年07月,3.9,3.8,2013-08-29
2013年08月,3.8,4.1,2013-09-29
2013年09月,4.1,4.0,2013-10-30
2013年10月,4.0,4.0,2013-11-29
2013年11月,4.0,3.9,2013-12-30
2013年12月,3.9,3.7,2014-01-29
2014年01月,3.7,3.7,2014-03-01
2014年02月,3.7,3.6,2014-04-01
2014年03月,3.6,3.6,2014-04-29
2014年04月,3.6,3.6,2014-05-30
2014年05月,3.6,3.6,2014-06-29
2014年06月,3.6,3.7,2014-07-30
2014年07月,3.7,3.7,2014-08-29
2014年08月,3.7,3.5,2014-09-29
2014年09月,3.5,3.6,2014-10-30
2014年10月,3.6,3.5,2014-11-29
2014年11月,3.5,3.5,2014-12-30
2014年12月,3.5,3.4,2015-01-29
2015年01月,3.4,3.6,2015-03-01
2015年02月,3.6,3.5,2015-04-01
2015年03月,3.5,3.4,2015-04-29
2015年04月,3.4,3.3,2015-05-30
2015年05月,3.3,3.3,2015-06-26
2015年06月,3.3,3.4,2015-07-31
2015年07月,3.4,3.3,2015-08-28
2015年08月,3.3,3.4,2015-10-02
2015年09月,3.4,3.4,2015-10-30
2015年10月,3.4,3.1,2015-11-27
2015年11月,3.1,3.3,2015-12-25
2015年12月,3.3,3.3,2016-01-29
2016年01月,3.3,3.2,2016-03-01
2016年02月,3.2,3.3,2016-03-29
2016年03月,3.3,3.2,2016-04-28
2016年04月,3.2,3.2,2016-05-31
2016年05月,3.2,3.2,2016-07-01
2016年06月,3.2,3.1,2016-07-29
2016年07月,3.1,3.0,2016-08-30
2016年08月,3.0,3.1,2016-09-30
2016年09月,3.1,3.0,2016-10-28
2016年10月,3.0,3.0,2016-11-29
2016年11月,3.0,3.1,2016-12-27
2016年12月,3.1,3.1,2017-01-31
2017年01月,3.1,3.0,2017-03-03
2017年02月,3.0,2.8,2017-03-31
2017年03月,2.8,2.8,2017-04-28
2017年04月,2.8,2.8,2017-05-30
2017年05月,2.8,3.1,2017-06-30
2017年06月,3.1,2.8,2017-07-28
2017年07月,2.8,2.8,2017-08-29
2017年08月,2.8,2.8,2017-09-29
2017年09月,2.8,2.8,2017-10-31
2017年10月,2.8,2.8,2017-12-01
2017年11月,2.8,2.7,2017-12-26
2017年12月,2.7,2.8,2018-01-30
2018年01月,2.8,2.4,2018-03-02
2018年02月,2.4,2.5,2018-03-30
2018年03月,2.5,2.5,2018-04-27
2018年04月,2.5,2.5,2018-05-29
2018年05月,2.5,2.2,2018-06-29
2018年06月,2.2,2.4,2018-07-31
2018年07月,2.4,2.5,2018-08-31
2018年08月,2.5,2.4,2018-09-28
2018年09月,2.4,2.3,2018-10-30
2018年10月,2.3,2.4,2018-11-30
2018年11月,2.4,2.5,2018-12-28
2018年12月,2.5,2.4,2019-02-01
2019年01月,2.4,2.5,2019-03-01
2019年02月,2.5,2.3,2019-03-29
2019年03月,2.3,2.5,2019-04-26
2019年04月,2.5,2.4,2019-05-31
2019年05月,2.4,2.4,2019-06-28
2019年06月,2.4,2.3,2019-07-30
2019年07月,2.3,2.2,2019-08-30
2019年08月,2.2,2.2,2019-10-01
2019年09月,2.2,2.4,2019-11-01
2019年10月,2.4,2.4,2019-11-29
2019年11月,2.4,2.2,2019-12-27
2019年12月,2.2,2.2,2020-01-31
2020年01月,2.2,2.4,2020-02-28
2020年02月,2.4,1.9,2020-03-31
