"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-12-9","241.70","238.80","245.20","238.80","892.72K","1.21%"
"2023-12-8","238.80","232.70","239.90","232.40","780.76K","2.62%"
"2023-12-7","232.70","229.59","234.70","228.60","807.42K","1.35%"
"2023-12-6","229.59","231.20","234.70","228.81","873.94K","-0.69%"
"2023-12-5","231.20","233.50","234.90","228.20","874.43K","-0.99%"
"2023-12-4","233.50","228.10","236.80","226.00","1.50M","2.37%"
"2023-12-3","228.10","229.10","231.70","226.11","602.39K","-0.44%"
"2023-12-2","229.10","228.50","230.10","226.40","463.45K","0.26%"
"2023-12-1","228.50","227.60","230.00","227.00","431.53K","0.39%"
"2023-11-30","227.60","227.30","229.20","226.00","366.36K","0.13%"
"2023-11-29","227.30","229.60","231.20","226.20","423.80K","-1.00%"
"2023-11-28","229.60","227.30","231.70","224.30","552.68K","1.01%"
"2023-11-27","227.30","231.60","232.90","222.90","841.60K","-1.86%"
"2023-11-26","231.60","234.50","234.50","228.70","442.65K","-1.24%"
"2023-11-25","234.50","232.80","235.60","232.40","317.79K","0.73%"
"2023-11-24","232.80","233.80","236.40","231.60","623.61K","-0.39%"
"2023-11-23","233.70","236.10","239.00","230.50","729.59K","-1.02%"
"2023-11-22","236.10","225.70","238.30","225.21","1.82M","4.61%"
"2023-11-21","225.70","253.10","271.14","224.11","4.11M","-10.83%"
"2023-11-20","253.10","246.31","267.71","240.18","1.57M","2.76%"
"2023-11-19","246.31","244.80","246.80","241.90","392.99K","0.62%"
"2023-11-18","244.80","244.89","245.20","238.80","497.98K","0.00%"
"2023-11-17","244.79","242.70","245.90","238.51","776.22K","0.86%"
"2023-11-16","242.70","253.79","255.60","240.30","1.11M","-4.37%"
"2023-11-15","253.79","242.20","254.20","242.10","936.47K","4.79%"
"2023-11-14","242.20","241.19","249.38","235.42","1.02M","0.42%"
"2023-11-13","241.19","247.40","250.19","240.30","976.30K","-2.51%"
"2023-11-12","247.40","251.59","251.90","245.44","656.51K","-1.67%"
"2023-11-11","251.59","251.10","255.19","246.20","761.82K","0.28%"
"2023-11-10","250.90","251.70","257.90","248.21","837.13K","-0.32%"
"2023-11-9","251.70","246.71","255.60","241.70","1.36M","2.02%"
"2023-11-8","246.71","246.30","248.09","244.30","513.26K","0.17%"
"2023-11-7","246.30","255.10","255.49","242.30","896.21K","-3.45%"
"2023-11-6","255.09","244.00","255.50","241.70","870.25K","4.54%"
"2023-11-5","244.00","237.10","245.50","236.10","631.92K","2.91%"
"2023-11-4","237.10","230.30","238.60","229.30","400.42K","2.95%"
"2023-11-3","230.30","231.80","232.40","225.90","513.43K","-0.65%"
"2023-11-2","231.80","227.90","233.40","227.50","855.20K","1.71%"
"2023-11-1","227.90","226.30","229.29","222.60","592.52K","0.71%"
"2023-10-31","226.30","227.90","229.29","224.00","477.45K","-0.70%"
"2023-10-30","227.90","227.00","229.10","224.80","412.06K","0.40%"
"2023-10-29","227.00","225.70","228.10","223.70","277.32K","0.58%"
"2023-10-28","225.70","224.40","228.29","224.20","360.35K","0.58%"
"2023-10-27","224.40","223.20","230.77","219.90","1.00M","0.54%"
"2023-10-26","223.20","222.10","228.00","219.49","754.09K","0.49%"
"2023-10-25","222.10","225.10","229.00","221.70","637.80K","-1.33%"
"2023-10-24","225.10","228.30","237.49","222.11","1.05M","-1.40%"
"2023-10-23","228.30","217.80","230.40","217.00","864.75K","4.82%"
"2023-10-22","217.80","214.10","218.10","213.60","299.88K","1.73%"
"2023-10-21","214.10","212.10","215.70","211.40","268.38K","0.94%"
"2023-10-20","212.10","211.10","216.39","210.60","355.28K","0.47%"
"2023-10-19","211.10","210.20","211.40","208.20","281.51K","0.43%"
"2023-10-18","210.20","211.50","213.70","209.90","268.39K","-0.62%"
"2023-10-17","211.50","214.70","214.90","209.60","385.04K","-1.49%"
"2023-10-16","214.70","209.80","218.79","209.60","791.11K","2.34%"
"2023-10-15","209.80","206.60","210.20","206.40","373.51K","1.55%"
"2023-10-14","206.60","206.00","207.10","205.70","145.74K","0.29%"
"2023-10-13","206.00","205.30","208.10","204.31","339.61K","0.34%"
"2023-10-12","205.30","206.59","207.08","203.01","372.65K","-0.63%"
"2023-10-11","206.59","208.50","208.80","204.60","413.46K","-0.92%"
"2023-10-10","208.50","205.80","210.87","205.70","593.77K","1.31%"
"2023-10-9","205.80","211.40","212.20","202.99","586.60K","-2.65%"
