"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-12-9","76.881","74.896","77.550","72.984","12.32M","2.65%"
"2023-12-8","74.896","67.798","75.242","67.798","14.15M","10.48%"
"2023-12-7","67.791","61.898","69.322","61.677","13.53M","9.53%"
"2023-12-6","61.896","60.959","66.631","60.959","13.83M","1.54%"
"2023-12-5","60.959","61.575","62.548","59.153","7.72M","-1.00%"
"2023-12-4","61.572","62.988","65.243","60.081","10.40M","-2.25%"
"2023-12-3","62.988","63.795","65.419","62.329","6.52M","-1.28%"
"2023-12-2","63.807","59.756","63.898","59.674","6.29M","6.78%"
"2023-12-1","59.754","59.199","61.846","58.614","6.66M","0.94%"
"2023-11-30","59.199","59.292","61.646","58.858","5.67M","-0.16%"
"2023-11-29","59.294","58.184","61.706","57.766","9.66M","1.89%"
"2023-11-28","58.192","55.055","58.634","53.978","7.11M","5.69%"
"2023-11-27","55.060","57.559","58.040","53.590","6.16M","-4.34%"
"2023-11-26","57.559","58.809","59.007","56.260","4.24M","-2.13%"
"2023-11-25","58.809","56.870","59.715","55.895","5.31M","3.42%"
"2023-11-24","56.863","56.412","58.712","56.242","5.28M","0.80%"
"2023-11-23","56.412","57.538","59.506","56.192","6.23M","-1.86%"
"2023-11-22","57.482","51.691","58.825","51.650","9.83M","11.20%"
"2023-11-21","51.691","56.574","57.316","51.401","12.95M","-8.63%"
"2023-11-20","56.574","61.087","61.199","56.234","8.92M","-7.43%"
"2023-11-19","61.114","58.566","62.011","56.724","9.09M","4.38%"
"2023-11-18","58.552","58.497","59.313","54.856","9.19M","0.09%"
"2023-11-17","58.497","57.823","60.442","54.205","14.71M","1.18%"
"2023-11-16","57.815","65.527","68.076","56.552","18.33M","-11.81%"
"2023-11-15","65.555","56.820","67.030","56.234","16.38M","15.37%"
"2023-11-14","56.820","51.639","57.751","51.603","15.40M","9.98%"
"2023-11-13","51.662","56.350","59.800","51.635","14.45M","-8.32%"
"2023-11-12","56.350","56.375","61.823","54.617","13.54M","-0.01%"
"2023-11-11","56.354","56.677","63.576","53.636","18.65M","-0.57%"
"2023-11-10","56.677","45.305","57.442","45.095","19.27M","25.02%"
"2023-11-9","45.335","43.132","48.777","42.529","16.80M","5.12%"
"2023-11-8","43.127","42.946","43.866","42.295","6.00M","0.42%"
"2023-11-7","42.946","42.171","44.442","40.236","12.27M","1.80%"
"2023-11-6","42.187","41.157","42.190","39.687","7.07M","2.51%"
"2023-11-5","41.154","42.426","42.826","40.297","5.78M","-2.99%"
"2023-11-4","42.424","39.454","42.675","39.032","9.18M","7.53%"
"2023-11-3","39.452","40.246","40.250","38.072","12.86M","-1.97%"
"2023-11-2","40.246","41.113","44.501","38.762","18.19M","-2.11%"
"2023-11-1","41.113","38.401","46.479","37.926","25.10M","7.07%"
"2023-10-31","38.398","34.942","38.561","34.862","12.76M","9.89%"
"2023-10-30","34.942","32.830","35.199","32.385","9.62M","6.51%"
"2023-10-29","32.805","31.632","33.142","31.312","4.67M","3.71%"
"2023-10-28","31.632","31.724","32.500","31.413","3.13M","-0.29%"
"2023-10-27","31.724","32.780","33.305","31.456","7.87M","-3.22%"
"2023-10-26","32.780","32.448","33.242","30.777","9.53M","1.04%"
"2023-10-25","32.444","30.160","33.841","30.038","13.17M","7.57%"
"2023-10-24","30.160","31.922","32.552","29.592","13.77M","-5.52%"
"2023-10-23","31.922","29.051","32.709","28.770","15.07M","9.89%"
"2023-10-22","29.049","29.325","29.992","28.123","6.55M","-1.00%"
"2023-10-21","29.343","27.020","30.165","26.665","11.47M","8.60%"
"2023-10-20","27.020","24.927","27.350","24.732","9.71M","8.33%"
"2023-10-19","24.942","23.420","25.434","23.181","7.60M","6.51%"
"2023-10-18","23.417","23.934","24.360","23.380","3.99M","-2.16%"
"2023-10-17","23.934","23.954","24.520","23.579","5.52M","-0.08%"
"2023-10-16","23.952","21.914","24.583","21.900","8.67M","9.30%"
"2023-10-15","21.914","22.000","22.152","21.670","1.82M","-0.35%"
"2023-10-14","21.990","21.838","22.220","21.808","1.55M","0.69%"
"2023-10-13","21.840","21.299","22.175","21.120","2.97M","2.54%"
"2023-10-12","21.299","22.008","22.032","21.032","3.40M","-3.26%"
"2023-10-11","22.015","22.098","22.416","21.630","3.55M","-0.38%"
"2023-10-10","22.098","22.100","22.459","21.703","2.81M","0.01%"
"2023-10-9","22.097","23.222","23.370","21.782","4.87M","-4.85%"
"2023-10-8","23.224","23.301","23.613","23.101","2.21M","-0.34%"
"2023-10-7","23.303","23.701","23.824","23.091","3.43M","-0.77%"
"2023-10-6","23.483","22.670","23.731","22.670","5.05M","3.59%"
"2023-10-5","22.670","23.140","23.730","22.592","4.05M","-2.03%"
"2023-10-4","23.140","23.608","23.776","22.665","4.83M","-1.98%"
"2023-10-3","23.608","23.360","24.697","23.268","7.03M","1.06%"
"2023-10-2","23.360","23.887","24.671","22.930","8.00M","-2.19%"
"2023-10-1","23.883","21.364","24.433","21.138","7.77M","11.79%"
"2023-9-30","21.364","20.280","21.762","20.100","4.41M","5.34%"
"2023-9-29","20.280","19.960","20.424","19.853","3.29M","1.60%"
"2023-9-28","19.960","19.127","19.976","19.105","3.97M","4.35%"
"2023-9-27","19.127","19.026","19.460","18.762","3.39M","0.53%"
"2023-9-26","19.026","19.398","19.520","18.868","2.50M","-1.92%"
"2023-9-25","19.398","19.362","19.736","19.140","2.24M","0.20%"
"2023-9-24","19.358","19.488","19.654","19.278","1.33M","-0.66%"
"2023-9-23","19.488","19.428","19.563","19.290","1.17M","0.31%"
"2023-9-22","19.428","19.463","19.780","19.172","2.36M","-0.18%"
"2023-9-21","19.463","20.292","20.292","19.313","4.02M","-4.11%"
"2023-9-20","20.297","20.030","20.508","19.818","3.43M","1.33%"
"2023-9-19","20.030","19.650","20.362","19.582","3.76M","1.95%"
"2023-9-18","19.648","18.822","20.122","18.613","4.87M","4.39%"
"2023-9-17","18.822","19.130","19.132","18.682","1.31M","-1.61%"
"2023-9-16","19.130","19.143","19.421","18.885","1.83M","-0.05%"
"2023-9-15","19.140","18.852","19.433","18.567","2.91M","1.54%"
"2023-9-14","18.850","18.398","19.300","18.398","5.38M","2.46%"
"2023-9-13","18.398","17.912","18.520","17.708","5.12M","2.72%"
"2023-9-12","17.910","17.738","18.690","17.570","5.94M","0.98%"
"2023-9-11","17.736","18.238","18.438","17.396","6.02M","-2.71%"
"2023-9-10","18.230","19.432","19.440","17.850","6.86M","-6.19%"
"2023-9-9","19.432","19.608","19.610","19.385","846.26K","-0.91%"
"2023-9-8","19.610","19.904","20.270","19.395","2.43M","-1.48%"
"2023-9-7","19.904","19.640","19.990","19.340","2.92M","1.34%"
"2023-9-6","19.640","20.258","20.370","19.206","4.10M","-3.05%"
"2023-9-5","20.258","19.520","20.571","19.047","5.07M","3.80%"
"2023-9-4","19.517","19.572","19.998","19.181","2.62M","-0.28%"
"2023-9-3","19.572","19.500","19.668","19.256","1.34M","0.37%"
"2023-9-2","19.500","19.322","19.678","19.146","1.73M","0.92%"
"2023-9-1","19.322","19.737","19.920","19.080","3.33M","-2.05%"
"2023-8-31","19.727","20.812","21.008","19.481","4.82M","-5.21%"
"2023-8-30","20.812","21.792","21.958","20.600","3.17M","-4.50%"
"2023-8-29","21.792","20.568","21.982","20.118","6.61M","5.95%"
"2023-8-28","20.568","20.790","20.790","20.086","2.10M","-1.07%"
"2023-8-27","20.790","20.288","20.908","20.240","1.37M","2.47%"
"2023-8-26","20.288","20.420","20.422","20.206","937.78K","-0.65%"
"2023-8-25","20.420","21.058","21.058","20.096","2.95M","-3.03%"
"2023-8-24","21.058","21.738","22.018","20.684","3.36M","-3.13%"
"2023-8-23","21.738","20.584","21.784","20.448","4.59M","5.61%"
"2023-8-22","20.584","21.192","21.262","19.557","4.50M","-2.86%"
"2023-8-21","21.190","21.770","21.772","20.448","3.36M","-2.65%"
"2023-8-20","21.768","21.900","22.014","21.596","1.34M","-0.60%"
"2023-8-19","21.900","21.346","22.150","21.308","2.11M","2.59%"
"2023-8-18","21.348","21.698","22.172","20.976","4.84M","-1.62%"
"2023-8-17","21.700","22.816","23.416","20.265","7.70M","-4.89%"
"2023-8-16","22.816","23.920","24.016","22.438","5.48M","-4.72%"
"2023-8-15","23.946","25.180","25.280","23.744","4.84M","-4.89%"
"2023-8-14","25.176","24.230","25.271","24.117","3.66M","3.90%"
"2023-8-13","24.230","24.902","24.940","24.216","2.34M","-2.70%"
"2023-8-12","24.902","24.616","25.128","24.396","2.25M","1.15%"
"2023-8-11","24.618","24.605","24.898","24.354","2.94M","0.05%"
"2023-8-10","24.605","24.385","24.860","24.135","3.08M","0.90%"
"2023-8-9","24.385","24.210","24.984","24.122","4.70M","0.72%"
"2023-8-8","24.210","23.117","24.740","23.026","5.92M","4.77%"
"2023-8-7","23.109","23.197","23.579","22.418","3.78M","-0.38%"
"2023-8-6","23.197","22.648","23.432","22.578","3.07M","2.42%"
