symbol,name,name_trans,sml_id,related_pair_ID
BTC,Bitcoin,比特币,25609848.0,1057391.0
ETH,Ethereum,以太坊,25674078.0,1061443.0
USDT,Tether,泰达币,25679159.0,1061453.0
BNB,BNB,BNB,25946192.0,1061448.0
USDC,USD Coin,USD Coin,27561451.0,1114630.0
XRP,XRP,XRP,25674343.0,1057392.0
SOL,Solana,Solana,28621291.0,1177183.0
ADA,Cardano,艾达币,25948924.0,1062537.0
BUSD,Binance USD,Binance USD,28793724.0,1177192.0
DOGE,Dogecoin,狗狗币,25738436.0,1061477.0
DOT,Polkadot,Polkadot,28668001.0,1177185.0
AVAX,Avalanche,Avalanche,28722630.0,1177190.0
WBTC,Wrapped Bitcoin,Wrapped Bitcoin,28704566.0,1177196.0
SHIB,Shiba Inu,SHIBA INU,28800288.0,1177506.0
UST,TerraUSD,TerraUSD,28864344.0,1177116.0
DAI,Dai,Dai,25971683.0,1061777.0
TRX,TRON,波场币,25947008.0,1061450.0
MATIC,Polygon,Polygon,27914684.0,1138411.0
CRO,Cronos,Cronos,27758906.0,1117862.0
NEAR,NEAR Protocol,NEAR Protocol,28753708.0,1177211.0
LTC,Litecoin,莱特币,25674344.0,1061445.0
LEO,UNUS SED LEO,UNUS SED LEO,28325467.0,1138417.0
FTT,FTX Token,FTX Token,28550255.0,1177198.0
BCH,Bitcoin Cash,比特币现金,25674414.0,1061410.0
UNI,Uniswap,Uniswap,28702706.0,1177189.0
LINK,Chainlink,Chainlink,25971795.0,1061794.0
XLM,Stellar,恒星币,25738435.0,1061451.0
ALGO,Algorand,Algorand,28377834.0,1177193.0
ATOM,Cosmos,Cosmos,27911079.0,1071461.0
BTCB,Bitcoin BEP2,Bitcoin BEP2,28794166.0,1172752.0
ETC,Ethereum Classic,以太坊经典,25674345.0,1057275.0
XMR,Monero,门罗币,25674790.0,1061467.0
VET,VeChain,唯链币,25963488.0,1061537.0
HBAR,Hedera,Hedera,28507946.0,1177217.0
EGLD,Elrond,Elrond,28647574.0,1177203.0
ICP,Internet Computer,Internet Computer,28801619.0,1177195.0
APE,ApeCoin,ApeCoin,28990167.0,1187037.0
FIL,Filecoin,Filecoin,25971684.0,1061489.0
SAND,The Sandbox,The Sandbox,28882984.0,1180604.0
MANA,Decentraland,Decentraland,25963502.0,1061831.0
XTZ,Tezos,Tezos,25971686.0,1061796.0
EOS,EOS,EOS,25674346.0,1061444.0
THETA,Theta Network,Theta Network,26001471.0,1066736.0
MKR,Maker,Maker,25971689.0,1061538.0
CAKE,PancakeSwap,PancakeSwap,28751535.0,1177206.0
FLOW,Flow,Flow,28793631.0,1178483.0
LUNA,Terra,Terra,28754983.0,1177187.0
AAVE,Aave,Aave,25973820.0,1061509.0
AXS,Axie Infinity,Axie Infinity,28839111.0,1177207.0
KCS,KuCoin Token,KuCoin Token,25971783.0,1058295.0
RUNE,THORChain,THORChain,28666380.0,1173406.0
KLAY,Klaytn,Klaytn,28793632.0,1177221.0
HNT,Helium,Helium,28793633.0,1172743.0
ZEC,Zcash,大零币,25678905.0,1061465.0
BTT,BitTorrent-New,BitTorrent (New),28976126.0,1186012.0
TUSD,TrueUSD,TrueUSD,27515489.0,1094123.0
HT,Huobi Token,火币积分,26105872.0,1094137.0
BSV,Bitcoin SV,Bitcoin SV,27540229.0,1099037.0
CVX,Convex Finance,Convex Finance,28992314.0,1187146.0
FTM,Fantom,Fantom,28542238.0,1177215.0
GRT,The Graph,The Graph,28722631.0,1177208.0
WAVES,Waves,波币,25712725.0,1061519.0
XEC,eCash,eCash,28864343.0,1177210.0
MIOTA,IOTA,埃欧塔,25674789.0,1061449.0
NEO,Neo,Neo,25712503.0,1061409.0
USDP,Pax Dollar,Pax Dollar,27735364.0,1115718.0
CELO,Celo,Celo,28742492.0,1169555.0
GMT,STEPN,STEPN,28990169.0,1187030.0
NEXO,Nexo,Nexo,27415179.0,1094146.0
CRV,Curve DAO Token,Curve DAO Token,28742495.0,1169561.0
OKB,OKB,OKB,28702702.0,1167222.0
USDN,Neutrino USD,Neutrino USD,28969698.0,1185632.0
QNT,Quant,Quant,27758875.0,1117861.0
ZIL,Zilliqa,Zilliqa,25975798.0,1066743.0
STX,Stacks,Stacks,28590176.0,1159393.0
CHZ,Chiliz,Chiliz,28506244.0,1178986.0
DASH,Dash,达世币,25674347.0,1061456.0
KSM,Kusama,Kusama,28702701.0,1177219.0
LRC,Loopring,路印协议,25971787.0,1061482.0
BAT,Basic Attention Token,注意力币,25971812.0,1061774.0
ENJ,Enjin Coin,恩金币,25963265.0,1061824.0
XDC,XDC Network,XDC Network,27447265.0,1089400.0
ONE,Harmony,Harmony,28313157.0,1137531.0
GALA,Gala,Gala,28888173.0,1180907.0
GNO,Gnosis,Gnosis,25738452.0,1061779.0
MINA,Mina,Mina,28864346.0,1180928.0
AR,Arweave,Arweave,28864345.0,1177117.0
PAXG,PAX Gold,PAX Gold,28905725.0,1179930.0
COMP,Compound,Compound,28666383.0,1165344.0
HOT,Holo,Holo,26672831.0,1081646.0
DCR,Decred,Decred,25958498.0,1066626.0
AMP,Amp,Amp,28828914.0,1174719.0
YFI,yearn.finance,yearn.finance,28702704.0,1167224.0
XEM,NEM,新经币,25712502.0,1061476.0
QTUM,Qtum,量子链币,25712504.0,1061464.0
TFUEL,Theta Fuel,Theta Fuel,28325499.0,1138421.0
ICX,ICON,ICON,25963704.0,1061807.0
KAVA,Kava,Kava.io,28649350.0,1163451.0
GT,GateToken,GateToken,28888171.0,1178897.0
XAUT,Tether Gold,Tether Gold,,
BNT,Bancor,Bancor,25738462.0,1061523.0
XYM,Symbol,Symbol,28993336.0,1187248.0
1INCH,1inch Network,1inch,28742494.0,1169557.0
FEI,Fei USD,Fei USD,28977397.0,1186108.0
OMG,OMG Network,OMG Network,25738368.0,1061446.0
BTG,Bitcoin Gold,比特黄金,25922209.0,1061452.0
ZRX,0x,0x协议,25738446.0,1061803.0
SCRT,Secret,Secret,28887885.0,1178872.0
AUDIO,Audius,Audius,28864347.0,1177120.0
LPT,Livepeer,Livepeer,28888176.0,1178904.0
HUSD,HUSD,HUSD,28990116.0,1186803.0
ROSE,Oasis Network,Oasis Network,28876657.0,1180919.0
GLMR,Moonbeam,Moonbeam,28990114.0,1186799.0
SKL,SKALE Network,SKALE Network,28882983.0,1178590.0
ELON,Dogelon Mars,Dogelon Mars,28888166.0,1180934.0
KDA,Kadena,Kadena,28888174.0,1178894.0
IOTX,IoTeX,IoTeX,27325025.0,1081594.0
BORA,BORA,BORA,28906686.0,1179971.0
JST,JUST,JUST,,
SRM,Serum,Serum,28666379.0,1165355.0
SNX,Synthetix,Synthetix,28543008.0,1169566.0
ANKR,Ankr,Ankr,28666382.0,1180912.0
ASTR,Astar,Astar,28995692.0,1187513.0
IOST,IOST,IOST,25975869.0,1062033.0
CEL,Celsius,Celsius,27447170.0,1089375.0
RVN,Ravencoin,Ravencoin,26640597.0,1094142.0
EVER,Everscale,Everscale,,
CHSB,SwissBorg,SwissBorg,28558226.0,1156714.0
KNC,Kyber Network Crystal v2,Kyber Network Crystal v2,25963500.0,1061801.0
SXP,SXP,SXP,28507948.0,1180939.0
ONT,Ontology,本体币,26444183.0,1075377.0
SC,Siacoin,云储币,25958494.0,1066618.0
VLX,Velas,Velas,28905702.0,1179908.0
