"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-12-9","1.0004","1.0001","1.0005","1.0000","90.73M","0.03%"
"2023-12-8","1.0001","1.0004","1.0006","1.0001","168.41M","-0.02%"
"2023-12-7","1.0004","1.0004","1.0010","1.0002","235.62M","-0.01%"
"2023-12-6","1.0004","1.0005","1.0010","1.0000","311.46M","0.00%"
"2023-12-5","1.0005","0.9997","1.0005","0.9991","281.22M","0.07%"
"2023-12-4","0.9997","0.9999","1.0002","0.9992","258.48M","-0.01%"
"2023-12-3","0.9999","1.0001","1.0001","0.9992","117.23M","-0.02%"
"2023-12-2","1.0001","1.0002","1.0005","0.9998","117.63M","-0.02%"
"2023-12-1","1.0002","1.0001","1.0005","0.9999","184.80M","0.01%"
"2023-11-30","1.0001","1.0003","1.0003","0.9998","129.24M","-0.01%"
"2023-11-29","1.0003","1.0003","1.0005","0.9999","176.10M","-0.01%"
"2023-11-28","1.0003","1.0000","1.0006","1.0000","204.54M","0.03%"
"2023-11-27","1.0000","1.0002","1.0007","1.0000","179.44M","-0.01%"
"2023-11-26","1.0002","1.0003","1.0005","0.9998","87.54M","-0.01%"
"2023-11-25","1.0003","1.0004","1.0005","1.0001","89.59M","0.00%"
"2023-11-24","1.0004","1.0001","1.0006","1.0000","189.80M","0.02%"
"2023-11-23","1.0001","1.0003","1.0005","1.0000","127.57M","-0.01%"
"2023-11-22","1.0003","1.0004","1.0006","0.9999","196.50M","-0.01%"
"2023-11-21","1.0004","1.0007","1.0007","1.0001","241.82M","-0.03%"
"2023-11-20","1.0007","1.0004","1.0009","1.0001","278.22M","0.02%"
"2023-11-19","1.0005","1.0006","1.0008","1.0003","90.79M","-0.02%"
"2023-11-18","1.0006","1.0003","1.0010","1.0003","79.31M","0.03%"
"2023-11-17","1.0003","0.9999","1.0005","0.9999","181.51M","0.03%"
"2023-11-16","0.9999","1.0007","1.0007","0.9997","222.61M","-0.08%"
"2023-11-15","1.0007","1.0003","1.0009","1.0001","217.83M","0.05%"
"2023-11-14","1.0003","1.0003","1.0008","0.9996","182.58M","0.00%"
"2023-11-13","1.0003","0.9999","1.0010","0.9997","180.42M","0.03%"
"2023-11-12","1.0000","0.9999","1.0005","0.9998","168.79M","0.00%"
"2023-11-11","0.9999","1.0002","1.0008","0.9999","92.42M","-0.03%"
"2023-11-10","1.0002","1.0001","1.0009","0.9999","227.06M","0.01%"
"2023-11-9","1.0001","1.0003","1.0007","0.9997","233.15M","-0.03%"
"2023-11-8","1.0004","1.0005","1.0011","1.0000","152.24M","-0.02%"
"2023-11-7","1.0005","1.0003","1.0011","1.0003","141.97M","0.02%"
"2023-11-6","1.0003","1.0008","1.0017","1.0002","125.30M","-0.05%"
"2023-11-5","1.0008","1.0010","1.0015","1.0008","69.14M","-0.01%"
"2023-11-4","1.0010","1.0007","1.0013","1.0007","45.89M","0.02%"
"2023-11-3","1.0007","1.0002","1.0009","1.0002","127.63M","0.06%"
"2023-11-2","1.0002","1.0005","1.0012","1.0001","123.32M","-0.03%"
"2023-11-1","1.0005","1.0004","1.0008","1.0001","134.96M","0.01%"
"2023-10-31","1.0004","1.0007","1.0011","1.0003","141.98M","-0.01%"
"2023-10-30","1.0005","1.0006","1.0010","1.0002","146.72M","-0.01%"
"2023-10-29","1.0006","1.0003","1.0008","1.0003","41.61M","0.02%"
"2023-10-28","1.0003","1.0008","1.0010","1.0003","47.93M","0.01%"
"2023-10-27","1.0003","1.0007","1.0009","1.0001","118.88M","0.00%"
"2023-10-26","1.0003","1.0004","1.0006","1.0000","135.36M","-0.02%"
"2023-10-25","1.0004","1.0003","1.0011","1.0002","147.21M","0.01%"
"2023-10-24","1.0003","1.0003","1.0006","0.9998","219.89M","-0.01%"
"2023-10-23","1.0004","1.0005","1.0011","1.0002","193.48M","-0.01%"
"2023-10-22","1.0005","1.0004","1.0006","1.0003","47.59M","0.00%"
"2023-10-21","1.0004","1.0005","1.0007","1.0002","53.52M","-0.01%"
"2023-10-20","1.0005","1.0006","1.0012","1.0001","161.23M","0.00%"
"2023-10-19","1.0006","1.0003","1.0007","1.0002","143.71M","0.02%"
"2023-10-18","1.0003","1.0003","1.0006","1.0003","115.00M","0.00%"
"2023-10-17","1.0003","1.0005","1.0008","1.0003","125.79M","-0.01%"
"2023-10-16","1.0005","1.0003","1.0008","1.0001","184.76M","0.02%"
"2023-10-15","1.0003","1.0003","1.0009","1.0001","31.74M","-0.01%"
"2023-10-14","1.0003","1.0000","1.0007","1.0000","43.15M","0.03%"
"2023-10-13","1.0000","1.0001","1.0010","0.9999","111.14M","0.00%"
"2023-10-12","1.0001","1.0000","1.0007","0.9999","166.87M","0.01%"
"2023-10-11","1.0000","1.0002","1.0010","0.9998","161.58M","-0.02%"
"2023-10-10","1.0002","1.0005","1.0014","1.0001","129.68M","-0.03%"
"2023-10-9","1.0005","1.0005","1.0009","1.0001","135.50M","0.00%"
"2023-10-8","1.0005","1.0005","1.0006","1.0002","34.10M","0.00%"
"2023-10-7","1.0005","1.0004","1.0006","1.0003","42.66M","0.00%"
"2023-10-6","1.0005","1.0000","1.0006","1.0000","133.63M","0.05%"
"2023-10-5","1.0000","1.0007","1.0008","1.0000","134.51M","-0.01%"
"2023-10-4","1.0002","1.0000","1.0002","0.9999","144.17M","0.01%"
"2023-10-3","1.0000","1.0003","1.0013","0.9999","135.43M","-0.02%"
"2023-10-2","1.0003","1.0003","1.0012","1.0001","189.09M","-0.01%"
"2023-10-1","1.0003","1.0003","1.0006","1.0001","50.12M","0.01%"
"2023-9-30","1.0003","1.0001","1.0007","1.0001","41.42M","0.02%"
"2023-9-29","1.0001","1.0002","1.0011","1.0000","130.46M","-0.02%"
"2023-9-28","1.0002","0.9996","1.0009","0.9994","122.84M","0.07%"
"2023-9-27","0.9996","1.0010","1.0011","0.9993","153.36M","-0.03%"
"2023-9-26","0.9998","1.0001","1.0009","0.9998","130.86M","-0.02%"
"2023-9-25","1.0001","1.0011","1.0018","1.0000","93.86M","-0.11%"
"2023-9-24","1.0011","1.0008","1.0015","1.0008","48.31M","0.03%"
"2023-9-23","1.0008","1.0005","1.0018","1.0005","35.83M","0.04%"
"2023-9-22","1.0005","1.0002","1.0015","1.0002","115.23M","0.03%"
"2023-9-21","1.0002","1.0001","1.0009","1.0000","135.64M","0.00%"
"2023-9-20","1.0001","1.0010","1.0011","1.0000","131.44M","-0.02%"
"2023-9-19","1.0004","1.0003","1.0011","1.0003","106.47M","0.00%"
"2023-9-18","1.0003","1.0004","1.0010","1.0002","138.88M","0.00%"
"2023-9-17","1.0004","1.0004","1.0010","1.0003","26.12M","-0.01%"
"2023-9-16","1.0004","1.0001","1.0010","1.0001","29.61M","0.03%"
"2023-9-15","1.0002","1.0003","1.0009","1.0001","125.66M","-0.02%"
"2023-9-14","1.0003","1.0002","1.0007","1.0000","146.07M","0.02%"
"2023-9-13","1.0002","1.0001","1.0009","1.0000","158.89M","0.01%"
"2023-9-12","1.0001","0.9998","1.0007","0.9998","187.68M","0.02%"
"2023-9-11","0.9998","0.9999","1.0006","0.9997","133.75M","-0.01%"
"2023-9-10","0.9999","1.0001","1.0005","0.9999","31.66M","-0.02%"
"2023-9-9","1.0001","1.0000","1.0005","1.0000","36.25M","0.01%"
"2023-9-8","1.0000","0.9998","1.0008","0.9998","104.89M","0.02%"
"2023-9-7","0.9998","0.9999","1.0010","0.9995","121.84M","-0.02%"
"2023-9-6","0.9999","0.9996","1.0005","0.9996","155.86M","0.03%"
"2023-9-5","0.9996","0.9997","1.0003","0.9995","144.22M","-0.01%"
"2023-9-4","0.9997","1.0000","1.0002","0.9995","102.14M","-0.02%"
"2023-9-3","1.0000","1.0001","1.0005","0.9999","31.82M","-0.02%"
"2023-9-2","1.0001","0.9999","1.0005","0.9999","23.93M","0.03%"
"2023-9-1","0.9999","1.0011","1.0011","0.9996","130.41M","-0.03%"
"2023-8-31","1.0001","1.0002","1.0011","1.0000","163.22M","0.00%"
"2023-8-30","1.0002","1.0009","1.0009","0.9999","149.30M","0.00%"
"2023-8-29","1.0001","0.9997","1.0010","0.9996","237.03M","0.04%"
"2023-8-28","0.9997","1.0008","1.0009","0.9995","128.37M","0.00%"
"2023-8-27","0.9997","1.0008","1.0009","0.9996","29.25M","-0.02%"
"2023-8-26","0.9999","0.9997","1.0009","0.9997","36.37M","0.02%"
"2023-8-25","0.9997","0.9997","1.0009","0.9995","158.58M","0.00%"
"2023-8-24","0.9997","1.0000","1.0010","0.9997","123.83M","-0.02%"
"2023-8-23","1.0000","0.9997","1.0006","0.9997","125.38M","0.03%"
"2023-8-22","0.9997","1.0000","1.0009","0.9996","136.94M","-0.04%"
